Title	NDCG@1	NDCG@5	NDCG@10	NDCG@100	MAP@1	MAP@5	MAP@10	MAP@100	Recall@1	Recall@5	Recall@10	Recall@100	P@1	P@5	P@10	P@100
bm25_all_bucket2	0.30508	0.4172	0.43651	0.47782	0.3003	0.38588	0.39438	0.40246	0.3003	0.50974	0.56683	0.76118	0.30508	0.10638	0.06009	0.00836
bm25_all_bucket3	0.28336	0.46967	0.50662	0.54867	0.25177	0.41794	0.43668	0.44702	0.25177	0.61712	0.719	0.88854	0.28336	0.15463	0.09372	0.01249
bm25_all_bucket4	0.27586	0.45683	0.51396	0.5688	0.26552	0.40325	0.43252	0.44819	0.26552	0.6092	0.76552	0.96552	0.27586	0.13793	0.09379	0.01345
bm25_occupation_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_occupation_bucket2	0.6087	0.77442	0.78165	0.79392	0.6087	0.73236	0.73545	0.73812	0.6087	0.89783	0.91957	0.97609	0.6087	0.17957	0.09196	0.00976
bm25_occupation_bucket3	0.45	0.65104	0.68369	0.69519	0.45	0.5925	0.60614	0.60897	0.45	0.825	0.925	0.975	0.45	0.165	0.0925	0.00975
bm25_occupation_bucket4	0.11765	0.52147	0.57734	0.57734	0.11765	0.41863	0.44092	0.44092	0.11765	0.82353	1.0	1.0	0.11765	0.16471	0.1	0.01
bm25_mother_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_mother_bucket2	0.35849	0.58115	0.62207	0.64403	0.32075	0.51941	0.53887	0.54355	0.32075	0.75891	0.87421	0.96855	0.35849	0.18491	0.10881	0.01252
bm25_mother_bucket3	0.06667	0.29138	0.37295	0.47106	0.03333	0.22444	0.27142	0.29991	0.03333	0.46667	0.66667	1.0	0.06667	0.16	0.12667	0.02067
bm25_mother_bucket4	0.0	0.05786	0.13331	0.34555	0.0	0.03718	0.07808	0.14311	0.0	0.10256	0.30769	1.0	0.0	0.04615	0.05385	0.02385
bm25_religion_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_religion_bucket2	0.42915	0.63535	0.65739	0.67496	0.42105	0.57837	0.58791	0.59106	0.42105	0.80364	0.87045	0.95547	0.42915	0.16518	0.08947	0.00988
bm25_religion_bucket3	0.1875	0.51527	0.57442	0.59047	0.15104	0.43047	0.45894	0.46567	0.15104	0.75	0.91667	0.96875	0.1875	0.2	0.125	0.01344
bm25_religion_bucket4	0.13333	0.30895	0.38899	0.41368	0.1	0.25926	0.30019	0.30342	0.1	0.44444	0.66667	0.8	0.13333	0.14667	0.10667	0.012
bm25_place of birth_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_place of birth_bucket2	0.69434	0.80705	0.81373	0.8259	0.69434	0.77742	0.78015	0.78285	0.69434	0.89434	0.91509	0.96981	0.69434	0.17925	0.0917	0.00972
bm25_place of birth_bucket3	0.41935	0.69414	0.69414	0.70314	0.40323	0.61398	0.61398	0.61691	0.40323	0.93548	0.93548	0.96774	0.41935	0.19355	0.09677	0.01
bm25_place of birth_bucket4	0.16667	0.47951	0.47951	0.49266	0.16667	0.38889	0.38889	0.38993	0.16667	0.75	0.75	0.83333	0.16667	0.15	0.075	0.00833
bm25_genre_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_genre_bucket2	0.17832	0.27814	0.29321	0.33865	0.17788	0.25009	0.25619	0.26396	0.17788	0.36189	0.40909	0.64073	0.17832	0.07255	0.041	0.00642
bm25_genre_bucket3	0.13793	0.30414	0.32622	0.37689	0.13793	0.25793	0.26692	0.27562	0.13793	0.44138	0.51034	0.76552	0.13793	0.08966	0.05172	0.00772
bm25_genre_bucket4	0.1875	0.35194	0.39686	0.44048	0.1875	0.30868	0.32964	0.33789	0.1875	0.47917	0.60417	0.8125	0.1875	0.10417	0.06667	0.00917
bm25_father_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_father_bucket2	0.41026	0.63596	0.65604	0.66922	0.40793	0.57343	0.58229	0.58489	0.40793	0.82168	0.88112	0.94406	0.41026	0.1655	0.08904	0.00953
bm25_father_bucket3	0.17188	0.51431	0.54574	0.55849	0.17188	0.41927	0.43266	0.435	0.17188	0.79688	0.89062	0.95312	0.17188	0.1625	0.09219	0.00984
bm25_father_bucket4	0.25	0.67539	0.67539	0.67539	0.25	0.5625	0.5625	0.5625	0.25	1.0	1.0	1.0	0.25	0.25	0.125	0.0125
bm25_screenwriter_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_screenwriter_bucket2	0.13889	0.20948	0.23378	0.28796	0.12853	0.18956	0.2009	0.21191	0.12853	0.26718	0.33524	0.57674	0.13889	0.06417	0.04236	0.00797
bm25_screenwriter_bucket3	0.12121	0.21929	0.27122	0.32597	0.10143	0.18661	0.21556	0.22991	0.10143	0.30783	0.43519	0.64646	0.12121	0.08687	0.07222	0.01157
bm25_screenwriter_bucket4	0.23009	0.37275	0.4137	0.48642	0.16431	0.33186	0.35314	0.37322	0.16431	0.48894	0.59145	0.84956	0.23009	0.16106	0.10354	0.0177
bm25_director_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_director_bucket2	0.14827	0.22935	0.24931	0.30754	0.14504	0.20624	0.21474	0.22543	0.14504	0.29815	0.35858	0.63981	0.14827	0.06189	0.03787	0.00699
bm25_director_bucket3	0.09934	0.21391	0.25088	0.31931	0.09492	0.18002	0.19666	0.21329	0.09492	0.31457	0.42053	0.70199	0.09934	0.0702	0.04901	0.00914
bm25_director_bucket4	0.21951	0.31002	0.36711	0.43542	0.17276	0.28079	0.31266	0.32673	0.17276	0.38618	0.53659	0.82927	0.21951	0.11707	0.08293	0.01366
bm25_producer_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_producer_bucket2	0.256	0.34973	0.37588	0.42771	0.24956	0.32173	0.33291	0.34298	0.24956	0.434	0.51267	0.75867	0.256	0.0912	0.054	0.00813
bm25_producer_bucket3	0.27642	0.4531	0.47834	0.52124	0.25203	0.4065	0.41735	0.42602	0.25203	0.58943	0.66667	0.86179	0.27642	0.13171	0.0748	0.00984
bm25_producer_bucket4	0.38636	0.49184	0.52316	0.57279	0.34091	0.45909	0.47255	0.48212	0.34091	0.59091	0.68182	0.90909	0.38636	0.14545	0.08636	0.01159
bm25_author_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_author_bucket2	0.21011	0.29696	0.31929	0.37187	0.20927	0.27174	0.28104	0.29108	0.20927	0.37256	0.44116	0.69314	0.21011	0.07523	0.04469	0.00721
bm25_author_bucket3	0.17822	0.3303	0.37501	0.42821	0.17327	0.28333	0.30292	0.31416	0.17327	0.4703	0.60396	0.84158	0.17822	0.09703	0.06337	0.0096
bm25_author_bucket4	0.25	0.375	0.45833	0.53783	0.25	0.33333	0.36905	0.39652	0.25	0.5	0.75	1.0	0.25	0.1	0.075	0.0125
bm25_composer_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_composer_bucket2	0.23205	0.33708	0.36181	0.41817	0.22297	0.30585	0.31818	0.33058	0.22297	0.42724	0.49466	0.74359	0.23205	0.09769	0.05949	0.00963
bm25_composer_bucket3	0.24038	0.36365	0.39464	0.47302	0.19263	0.33257	0.34885	0.36723	0.19263	0.45272	0.53045	0.84615	0.24038	0.15385	0.09327	0.01625
bm25_composer_bucket4	0.25581	0.36974	0.42433	0.49268	0.19845	0.33802	0.3718	0.39046	0.19845	0.44186	0.57364	0.83721	0.25581	0.15349	0.1093	0.01744
bm25_country_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_country_bucket2	0.51752	0.62535	0.63797	0.66435	0.51752	0.59629	0.6015	0.60627	0.51752	0.71159	0.75067	0.8814	0.51752	0.14232	0.07507	0.00881
bm25_country_bucket3	0.32692	0.61149	0.62431	0.64318	0.31731	0.52724	0.53274	0.5358	0.31731	0.86538	0.90385	1.0	0.32692	0.17692	0.09231	0.01019
bm25_country_bucket4	0.29032	0.47793	0.50799	0.54113	0.29032	0.42204	0.43369	0.43994	0.29032	0.64516	0.74194	0.90323	0.29032	0.12903	0.07419	0.00903
bm25_capital_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_capital_bucket2	0.48283	0.71153	0.72649	0.7419	0.4721	0.6532	0.6601	0.66402	0.4721	0.88011	0.92561	0.98927	0.48283	0.18498	0.09785	0.01058
bm25_capital_bucket3	0.45912	0.67265	0.70154	0.72083	0.45073	0.61368	0.62841	0.63354	0.45073	0.84067	0.92453	1.0	0.45912	0.17736	0.09937	0.01094
bm25_capital_bucket4	0.0	0.21031	0.21031	0.28209	0.0	0.16667	0.16667	0.18056	0.0	0.33333	0.33333	0.66667	0.0	0.06667	0.03333	0.00667
bm25_capital of_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_capital of_bucket2	0.36667	0.56228	0.58464	0.6198	0.33214	0.5044	0.51465	0.52257	0.33214	0.73413	0.8	0.95714	0.36667	0.17048	0.09333	0.01114
bm25_capital of_bucket3	0.51282	0.70121	0.74486	0.75939	0.35128	0.64729	0.67665	0.6814	0.35128	0.82906	0.94872	1.0	0.51282	0.31795	0.18462	0.01974
bm25_capital of_bucket4	0.52941	0.60011	0.69681	0.74071	0.44118	0.57549	0.63498	0.65345	0.44118	0.65686	0.88235	1.0	0.52941	0.18824	0.16471	0.02235
bm25_color_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_color_bucket2	0.31818	0.49478	0.52508	0.57955	0.31818	0.44697	0.45996	0.47366	0.31818	0.63636	0.72727	0.95455	0.31818	0.12727	0.07273	0.00955
bm25_color_bucket3	0.0	0.32974	0.45662	0.45662	0.0	0.24	0.29079	0.29079	0.0	0.6	1.0	1.0	0.0	0.12	0.1	0.01
bm25_color_bucket4	0.33333	0.33333	0.44444	0.52976	0.33333	0.33333	0.38095	0.40476	0.33333	0.33333	0.66667	1.0	0.33333	0.06667	0.06667	0.01
bm25_sport_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bm25_sport_bucket2	0.72107	0.79865	0.80483	0.82048	0.72107	0.77806	0.78071	0.78376	0.72107	0.8595	0.8781	0.95248	0.72107	0.1719	0.08781	0.00952
bm25_sport_bucket3	0.28125	0.57229	0.60354	0.61662	0.28125	0.49167	0.50506	0.50742	0.28125	0.8125	0.90625	0.96875	0.28125	0.1625	0.09063	0.00969
bm25_sport_bucket4	0.39286	0.59549	0.62012	0.66056	0.375	0.54286	0.55391	0.56678	0.375	0.75	0.82143	0.96429	0.39286	0.16429	0.08929	0.01107
bm25_all_bucket1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
